token_length,word_count,question_type,load_score,selected_tier
28,5,0,0.191,small
28,5,0,0.175,small
28,5,0,0.1405,small
36,7,0,0.157,small
44,8,3,0.075,medium
30,6,0,0.207,tiny
25,5,0,0.31,tiny
25,5,0,0.2005,tiny
26,6,0,0.1945,tiny
96,19,3,0.294,medium
78,13,3,0.273,medium
111,19,2,0.222,medium
149,22,3,0.188,medium
139,19,2,0.0905,medium
35,7,0,0.22399999999999998,medium
91,15,2,0.1405,medium
135,19,3,0.111,medium
29,6,0,0.14900000000000002,medium
29,6,0,0.266,tiny
218,26,2,0.1815,medium
109,13,2,0.245,medium
14,5,0,0.37549999999999994,tiny
106,16,3,0.181,medium
82,12,2,0.193,small
114,19,0,0.2515,small
93,14,2,0.245,small
106,14,1,0.193,medium
108,14,3,0.21850000000000003,medium
87,12,1,0.1265,medium
113,16,0,0.10700000000000001,medium
101,18,0,0.19,medium
92,12,0,0.115,medium
93,15,0,0.20950000000000002,medium
90,16,0,0.16199999999999998,medium
78,15,0,0.161,tiny
86,13,0,0.259,tiny
110,13,0,0.1785,tiny
83,12,0,0.518,tiny
70,14,0,0.3205,small
59,13,0,0.16999999999999998,medium
14,5,0,0.14400000000000002,small
28,6,0,0.114,tiny
17,4,3,0.10650000000000001,tiny
203,34,3,0.185,tiny
3555,531,2,0.10650000000000001,medium
